crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
10,0,health,21,0,1700246603763478360
10,0,education,21,0,1700246603763478360
10,0,Agriculture,21,0,1700246603763478360
10,0,technology,21,0,1700246603763478360
10,0,transport,21,0,1700246603763478360
10,0,climate_environment,21,0,1700246603763478360
10,0,finance,21,0,1700246603763478360
20,0,health,21,15.0,1700246627328992784
20,1,education,21,15.0,1700246627328992784
20,0,Agriculture,21,15.0,1700246627328992784
20,0,technology,21,15.0,1700246627328992784
20,0,transport,21,15.0,1700246627328992784
20,0,climate_environment,21,15.0,1700246627328992784
20,0,finance,21,15.0,1700246627328992784
30,0,health,21,15.0,1700246657784605317
30,1,education,21,15.0,1700246657784605317
30,0,Agriculture,21,15.0,1700246657784605317
30,0,technology,21,15.0,1700246657784605317
30,0,transport,21,15.0,1700246657784605317
30,0,climate_environment,21,15.0,1700246657784605317
30,0,finance,21,15.0,1700246657784605317
40,0,health,21,16.5,1700246682944348683
40,1,education,21,16.5,1700246682944348683
40,0,Agriculture,21,16.5,1700246682944348683
40,1,technology,21,16.5,1700246682944348683
40,0,transport,21,16.5,1700246682944348683
40,0,climate_environment,21,16.5,1700246682944348683
40,0,finance,21,16.5,1700246682944348683
50,0,health,21,12.25,1700246711643091135
50,1,education,21,12.25,1700246711643091135
50,0,Agriculture,21,12.25,1700246711643091135
50,1,technology,21,12.25,1700246711643091135
50,0,transport,21,12.25,1700246711643091135
50,0,climate_environment,21,12.25,1700246711643091135
50,2,finance,21,12.25,1700246711643091135
60,0,health,21,12.25,1700246751720256687
60,1,education,21,12.25,1700246751720256687
60,0,Agriculture,21,12.25,1700246751720256687
60,1,technology,21,12.25,1700246751720256687
60,0,transport,21,12.25,1700246751720256687
60,0,climate_environment,21,12.25,1700246751720256687
60,2,finance,21,12.25,1700246751720256687
70,0,health,21,12.25,1700246780902420854
70,1,education,21,12.25,1700246780902420854
70,0,Agriculture,21,12.25,1700246780902420854
70,1,technology,21,12.25,1700246780902420854
70,0,transport,21,12.25,1700246780902420854
70,0,climate_environment,21,12.25,1700246780902420854
70,2,finance,21,12.25,1700246780902420854
80,0,health,21,12.25,1700246800667724779
