crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
10,0,health,105,1.0,1700246615121432118
10,0,education,105,1.0,1700246615121432118
10,2,Agriculture,105,1.0,1700246615121432118
10,0,technology,105,1.0,1700246615121432118
10,0,transport,105,1.0,1700246615121432118
10,0,climate_environment,105,1.0,1700246615121432118
10,0,finance,105,1.0,1700246615121432118
20,1,health,105,6.0,1700246665329433520
20,0,education,105,6.0,1700246665329433520
20,2,Agriculture,105,6.0,1700246665329433520
20,0,technology,105,6.0,1700246665329433520
20,0,transport,105,6.0,1700246665329433520
20,0,climate_environment,105,6.0,1700246665329433520
20,0,finance,105,6.0,1700246665329433520
30,1,health,105,1.75,1703593587155319895
30,0,education,105,1.75,1703593587155319895
30,2,Agriculture,105,1.75,1703593587155319895
30,0,technology,105,1.75,1703593587155319895
30,0,transport,105,1.75,1703593587155319895
30,1,climate_environment,105,1.75,1703593587155319895
30,0,finance,105,1.75,1703593587155319895
40,1,health,105,1.75,1703593600542053533
40,0,education,105,1.75,1703593600542053533
40,2,Agriculture,105,1.75,1703593600542053533
40,0,technology,105,1.75,1703593600542053533
40,0,transport,105,1.75,1703593600542053533
40,1,climate_environment,105,1.75,1703593600542053533
40,0,finance,105,1.75,1703593600542053533
50,1,health,105,5.833333333333333,1703593618266111490
50,0,education,105,5.833333333333333,1703593618266111490
50,2,Agriculture,105,5.833333333333333,1703593618266111490
50,0,technology,105,5.833333333333333,1703593618266111490
50,0,transport,105,5.833333333333333,1703593618266111490
50,3,climate_environment,105,5.833333333333333,1703593618266111490
50,0,finance,105,5.833333333333333,1703593618266111490
60,1,health,105,6.428571428571429,1703593634601067110
60,0,education,105,6.428571428571429,1703593634601067110
60,2,Agriculture,105,6.428571428571429,1703593634601067110
60,0,technology,105,6.428571428571429,1703593634601067110
60,0,transport,105,6.428571428571429,1703593634601067110
60,4,climate_environment,105,6.428571428571429,1703593634601067110
60,0,finance,105,6.428571428571429,1703593634601067110
70,1,health,105,4.636363636363637,1703593651294688688
70,0,education,105,4.636363636363637,1703593651294688688
70,2,Agriculture,105,4.636363636363637,1703593651294688688
70,0,technology,105,4.636363636363637,1703593651294688688
70,0,transport,105,4.636363636363637,1703593651294688688
70,7,climate_environment,105,4.636363636363637,1703593651294688688
70,1,finance,105,4.636363636363637,1703593651294688688
80,1,health,105,4.636363636363637,1703593672280532761
80,0,education,105,4.636363636363637,1703593672280532761
80,2,Agriculture,105,4.636363636363637,1703593672280532761
80,0,technology,105,4.636363636363637,1703593672280532761
80,0,transport,105,4.636363636363637,1703593672280532761
80,7,climate_environment,105,4.636363636363637,1703593672280532761
