crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
10,0,health,21,5.0,1700764603029895199
10,0,education,21,5.0,1700764603029895199
10,0,Agriculture,21,5.0,1700764603029895199
10,0,technology,21,5.0,1700764603029895199
10,0,transport,21,5.0,1700764603029895199
10,1,climate_environment,21,5.0,1700764603029895199
10,0,finance,21,5.0,1700764603029895199
20,0,health,21,5.333333333333333,1700764644709400223
20,0,education,21,5.333333333333333,1700764644709400223
20,0,Agriculture,21,5.333333333333333,1700764644709400223
20,0,technology,21,5.333333333333333,1700764644709400223
20,0,transport,21,5.333333333333333,1700764644709400223
20,3,climate_environment,21,5.333333333333333,1700764644709400223
20,0,finance,21,5.333333333333333,1700764644709400223
30,0,health,21,5.4,1700764685453657956
30,1,education,21,5.4,1700764685453657956
30,0,Agriculture,21,5.4,1700764685453657956
30,0,technology,21,5.4,1700764685453657956
30,0,transport,21,5.4,1700764685453657956
30,4,climate_environment,21,5.4,1700764685453657956
30,0,finance,21,5.4,1700764685453657956
40,1,health,21,4.857142857142857,1700764725792444796
40,2,education,21,4.857142857142857,1700764725792444796
40,0,Agriculture,21,4.857142857142857,1700764725792444796
40,0,technology,21,4.857142857142857,1700764725792444796
40,0,transport,21,4.857142857142857,1700764725792444796
40,4,climate_environment,21,4.857142857142857,1700764725792444796
40,0,finance,21,4.857142857142857,1700764725792444796
50,1,health,21,4.777777777777778,1700764771349694156
50,2,education,21,4.777777777777778,1700764771349694156
50,0,Agriculture,21,4.777777777777778,1700764771349694156
50,0,technology,21,4.777777777777778,1700764771349694156
50,0,transport,21,4.777777777777778,1700764771349694156
50,6,climate_environment,21,4.777777777777778,1700764771349694156
50,0,finance,21,4.777777777777778,1700764771349694156
60,1,health,21,4.909090909090909,1700764811947569323
60,2,education,21,4.909090909090909,1700764811947569323
60,0,Agriculture,21,4.909090909090909,1700764811947569323
60,0,technology,21,4.909090909090909,1700764811947569323
60,0,transport,21,4.909090909090909,1700764811947569323
60,8,climate_environment,21,4.909090909090909,1700764811947569323
60,0,finance,21,4.909090909090909,1700764811947569323
70,2,health,21,4.928571428571429,1700764868678042979
70,2,education,21,4.928571428571429,1700764868678042979
70,0,Agriculture,21,4.928571428571429,1700764868678042979
70,0,technology,21,4.928571428571429,1700764868678042979
70,0,transport,21,4.928571428571429,1700764868678042979
70,10,climate_environment,21,4.928571428571429,1700764868678042979
70,0,finance,21,4.928571428571429,1700764868678042979
80,2,health,21,0.8705357142857143,1703553350236333548
80,2,education,21,0.8705357142857143,1703553350236333548
80,0,Agriculture,21,0.8705357142857143,1703553350236333548
80,0,technology,21,0.8705357142857143,1703553350236333548
80,0,transport,21,0.8705357142857143,1703553350236333548
80,12,climate_environment,21,0.8705357142857143,1703553350236333548
80,0,finance,21,0.8705357142857143,1703553350236333548
90,2,health,21,1.0546218487394958,1703553396523276286
90,2,education,21,1.0546218487394958,1703553396523276286
90,0,Agriculture,21,1.0546218487394958,1703553396523276286
90,0,technology,21,1.0546218487394958,1703553396523276286
90,0,transport,21,1.0546218487394958,1703553396523276286
90,13,climate_environment,21,1.0546218487394958,1703553396523276286
90,0,finance,21,1.0546218487394958,1703553396523276286
100,2,health,21,1.7182539682539684,1703553442099741429
100,2,education,21,1.7182539682539684,1703553442099741429
100,0,Agriculture,21,1.7182539682539684,1703553442099741429
100,0,technology,21,1.7182539682539684,1703553442099741429
100,0,transport,21,1.7182539682539684,1703553442099741429
100,14,climate_environment,21,1.7182539682539684,1703553442099741429
100,0,finance,21,1.7182539682539684,1703553442099741429
110,2,health,21,2.04421768707483,1703553477680948647
110,3,education,21,2.04421768707483,1703553477680948647
110,0,Agriculture,21,2.04421768707483,1703553477680948647
110,0,technology,21,2.04421768707483,1703553477680948647
110,0,transport,21,2.04421768707483,1703553477680948647
110,16,climate_environment,21,2.04421768707483,1703553477680948647
110,0,finance,21,2.04421768707483,1703553477680948647
120,2,health,21,2.2240259740259742,1703553528767106201
120,3,education,21,2.2240259740259742,1703553528767106201
120,0,Agriculture,21,2.2240259740259742,1703553528767106201
120,0,technology,21,2.2240259740259742,1703553528767106201
120,0,transport,21,2.2240259740259742,1703553528767106201
120,17,climate_environment,21,2.2240259740259742,1703553528767106201
120,0,finance,21,2.2240259740259742,1703553528767106201
130,2,health,21,2.5571428571428574,1703553572107936418
130,4,education,21,2.5571428571428574,1703553572107936418
